,REPORT_DATE,NAMA_PERUSAHAAN,EQUITY
2,2017-12-31,BRI LIFE,2104007.0
3,2018-12-31,BRI LIFE,2231806.0
4,2019-12-31,BRI LIFE,2563929.0
5,2020-12-31,BRI LIFE,2794003.0
6,2021-12-31,BRI LIFE,6683102.0
7,2022-12-31,BRI LIFE,7706564.0
8,2023-12-31,BRI LIFE,10810908.33
9,2024-12-31,BRI LIFE,15113590.14
10,2025-12-31,BRI LIFE,20640055.19
11,2026-12-31,BRI LIFE,28460436.4
12,2027-12-31,BRI LIFE,39195788.34
0,2015-12-31,ASURANSI JIWA SINARMAS MSIG,7223445.25
1,2016-12-31,ASURANSI JIWA SINARMAS MSIG,7773714.67
2,2017-12-31,ASURANSI JIWA SINARMAS MSIG,8510513.98
3,2018-12-31,ASURANSI JIWA SINARMAS MSIG,7103034.82
4,2019-12-31,ASURANSI JIWA SINARMAS MSIG,7742214.17
5,2020-12-31,ASURANSI JIWA SINARMAS MSIG,8041917.72
6,2021-12-31,ASURANSI JIWA SINARMAS MSIG,7595506.27
7,2022-12-31,ASURANSI JIWA SINARMAS MSIG,7571633.8
8,2023-12-31,ASURANSI JIWA SINARMAS MSIG,7653893.27
9,2024-12-31,ASURANSI JIWA SINARMAS MSIG,7664247.67
10,2025-12-31,ASURANSI JIWA SINARMAS MSIG,7670713.05
11,2026-12-31,ASURANSI JIWA SINARMAS MSIG,7660795.58
12,2027-12-31,ASURANSI JIWA SINARMAS MSIG,7664326.85
0,2015-12-31,SUN LIFE FINANCIAL INDONESIA,1066111.0
1,2016-12-31,SUN LIFE FINANCIAL INDONESIA,1288588.0
2,2017-12-31,SUN LIFE FINANCIAL INDONESIA,1550979.0
3,2018-12-31,SUN LIFE FINANCIAL INDONESIA,1495844.0
4,2019-12-31,SUN LIFE FINANCIAL INDONESIA,1384284.0
5,2020-12-31,SUN LIFE FINANCIAL INDONESIA,1121514.0
6,2021-12-31,SUN LIFE FINANCIAL INDONESIA,1237305.0
7,2022-12-31,SUN LIFE FINANCIAL INDONESIA,7234540.0
8,2023-12-31,SUN LIFE FINANCIAL INDONESIA,-4559952.54
9,2024-12-31,SUN LIFE FINANCIAL INDONESIA,63695.29
10,2025-12-31,SUN LIFE FINANCIAL INDONESIA,23577257.4
11,2026-12-31,SUN LIFE FINANCIAL INDONESIA,-31812741.2
12,2027-12-31,SUN LIFE FINANCIAL INDONESIA,4348761.47
0,2015-12-31,ASURANSI ALLIANZ LIFE INDONESIA,4355995.0
1,2016-12-31,ASURANSI ALLIANZ LIFE INDONESIA,5381290.0
2,2017-12-31,ASURANSI ALLIANZ LIFE INDONESIA,6030989.0
3,2018-12-31,ASURANSI ALLIANZ LIFE INDONESIA,5768100.0
4,2019-12-31,ASURANSI ALLIANZ LIFE INDONESIA,5822094.0
5,2020-12-31,ASURANSI ALLIANZ LIFE INDONESIA,6107836.0
6,2021-12-31,ASURANSI ALLIANZ LIFE INDONESIA,6945025.0
7,2022-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7208812.0
8,2023-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7350661.88
9,2024-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7454014.45
10,2025-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7539043.16
11,2026-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7611419.2
12,2027-12-31,ASURANSI ALLIANZ LIFE INDONESIA,7673567.31
0,2015-12-31,ASURANSI JIWA SEQUIS LIFE,5597812.0
1,2016-12-31,ASURANSI JIWA SEQUIS LIFE,5774991.0
2,2017-12-31,ASURANSI JIWA SEQUIS LIFE,6394502.0
3,2018-12-31,ASURANSI JIWA SEQUIS LIFE,6372422.0
4,2019-12-31,ASURANSI JIWA SEQUIS LIFE,6553268.0
5,2020-12-31,ASURANSI JIWA SEQUIS LIFE,7467843.0
6,2021-12-31,ASURANSI JIWA SEQUIS LIFE,6864887.0
7,2022-12-31,ASURANSI JIWA SEQUIS LIFE,7084995.0
8,2023-12-31,ASURANSI JIWA SEQUIS LIFE,7021426.3
9,2024-12-31,ASURANSI JIWA SEQUIS LIFE,7005040.61
10,2025-12-31,ASURANSI JIWA SEQUIS LIFE,7011114.7
11,2026-12-31,ASURANSI JIWA SEQUIS LIFE,7005608.75
12,2027-12-31,ASURANSI JIWA SEQUIS LIFE,7005006.77
0,2015-12-31,BNI LIFE INSURANCE,4823091.0
1,2016-12-31,BNI LIFE INSURANCE,4906474.0
2,2017-12-31,BNI LIFE INSURANCE,5213625.0
3,2018-12-31,BNI LIFE INSURANCE,5062943.0
4,2019-12-31,BNI LIFE INSURANCE,5442390.0
5,2020-12-31,BNI LIFE INSURANCE,5671565.0
6,2021-12-31,BNI LIFE INSURANCE,5708164.0
7,2022-12-31,BNI LIFE INSURANCE,5734089.0
8,2023-12-31,BNI LIFE INSURANCE,5757872.74
9,2024-12-31,BNI LIFE INSURANCE,5775026.21
10,2025-12-31,BNI LIFE INSURANCE,5787681.61
11,2026-12-31,BNI LIFE INSURANCE,5796942.1
12,2027-12-31,BNI LIFE INSURANCE,5803726.99
0,2015-12-31,PRUDENTIAL LIFE ASSURANCE,8414856.0
1,2016-12-31,PRUDENTIAL LIFE ASSURANCE,9097637.0
2,2017-12-31,PRUDENTIAL LIFE ASSURANCE,8797858.0
3,2018-12-31,PRUDENTIAL LIFE ASSURANCE,7600494.0
4,2019-12-31,PRUDENTIAL LIFE ASSURANCE,7067524.0
5,2020-12-31,PRUDENTIAL LIFE ASSURANCE,6838541.0
6,2021-12-31,PRUDENTIAL LIFE ASSURANCE,6114327.0
7,2022-12-31,PRUDENTIAL LIFE ASSURANCE,5699419.0
8,2023-12-31,PRUDENTIAL LIFE ASSURANCE,5550312.89
9,2024-12-31,PRUDENTIAL LIFE ASSURANCE,5508109.95
10,2025-12-31,PRUDENTIAL LIFE ASSURANCE,5512517.32
11,2026-12-31,PRUDENTIAL LIFE ASSURANCE,5530266.32
12,2027-12-31,PRUDENTIAL LIFE ASSURANCE,5548160.94
